TotalDistance_km,Calories,VeryActiveHours,FairlyActiveHours,LightlyActiveHours,SedentaryHours
8.5,1985,0.42,0.22,5.47,12.13
6.97,1797,0.35,0.32,3.62,12.93
6.74,1776,0.5,0.18,3.02,20.3
6.28,1745,0.48,0.57,3.48,12.1
8.16,1863,0.6,0.17,3.68,12.88
6.48,1728,0.63,0.33,2.73,8.98
8.59,1921,0.7,0.27,3.88,19.15
9.88,2035,0.83,0.52,4.4,12.92
6.68,1786,0.47,0.2,3.42,13.63
6.34,1775,0.32,0.13,3.52,13.97
8.13,1827,1.1,0.45,2.17,20.28
9.04,1949,0.68,0.35,4.37,12.2
6.41,1788,0.65,0.08,3.97,11.82
9.8,2013,1.22,0.23,3.6,13.57
8.79,1970,0.52,0.38,4.65,13.88
12.21,2159,1.3,0.18,4.05,18.47
8.53,1898,0.8,0.47,3.15,13.03
7.15,1837,0.27,0.2,4.05,13.58
9.25,1947,0.87,0.57,3.62,11.87
6.81,1820,0.55,0.58,4.1,12.17
9.71,2004,0.68,0.25,4.62,13.3
9.66,1990,0.83,0.4,4.23,13.6
7.15,1819,0.6,0.37,3.38,19.65
8.9,1959,0.75,0.4,4.17,14.28
8.03,1896,0.4,0.1,4.82,12.57
7.71,1821,0.62,0.77,2.92,13.88
6.58,1740,0.73,0.13,3.38,9.57
7.72,1819,0.77,0.18,3.43,13.92
7.77,1859,0.77,0.52,3.57,12.43
8.13,1783,0.6,0.38,4.18,11.15
0,0,0,0,0,24
5.31,1432,0,0,2.43,21.57
4.55,1411,0,0,2.47,21.53
5.92,1572,0,0,3.93,20.07
0.98,1344,0,0,1.6,22.4
3.49,1463,0,0,2.93,21.07
4.06,1554,0.25,0.37,2.12,21.27
7.41,1604,0.28,0.12,3.37,20.23
1.9,1435,0,0,2.35,21.65
3.23,1446,0,0,2.52,21.48
4.13,1467,0,0,3.1,20.9
2.62,1470,0,0,3.32,20.68
5.55,1562,0,0,3.78,20.22
3.95,1617,0.27,0.3,3.08,20.35
4.22,1492,0,0,3.37,20.63
1.84,1402,0,0,2.33,21.67
5.44,1670,0.28,0.6,2.57,20.55
1.79,1401,0,0.08,1.92,22
1.55,1404,0,0,2.5,21.5
4.3,1655,0.18,0.38,3.73,19.7
28.03,2690,3.1,1.05,2.85,17
4.93,1497,0.12,0.1,2.77,21.02
1.37,1334,0,0,1.6,22.4
1.43,1368,0,0,1.97,22.03
1.61,1370,0,0,1.95,22.05
1.12,1341,0,0,1.7,22.3
1.37,1474,0,0,3.03,20.97
2.23,1427,0,0,2.53,21.47
1.13,1328,0,0,1.52,22.48
1.93,1393,0,0,2.32,21.68
2.04,1359,0,0,1.87,22.13
1.93,1002,0,0,1.78,14.83
7.77,3199,0.03,0.85,4.27,18.85
5.82,2902,0.5,0.27,2.25,20.98
8.02,3226,0.08,0.97,4.2,18.75
3.83,2750,0.05,0.07,2.83,21.05
11.12,3493,0.85,0.7,3.53,18.92
6.37,3011,0.48,0.22,3.1,20.2
5.19,2806,0.25,0.55,2.02,21.18
8.18,3300,0.08,0.97,4.63,18.32
1.77,2430,0,0,2.08,21.92
0.89,2140,0,0,0.63,23.37
2.67,2344,0,0,1.43,22.57
4.83,2677,0,0.25,2.67,21.08
2.41,2413,0,0,1.48,22.52
2.6,2497,0.13,0.02,1.57,22.28
7.21,3123,0.18,0.68,3.72,19.42
2.2,2489,0,0,1.97,22.03
6.84,3108,0.05,0.88,3.78,19.28
2.31,2498,0,0,2,19.88
13.24,3846,0.15,1.18,6.7,13.6
4.46,2696,0.05,0.4,2.43,15.13
2.73,2580,0.02,0.12,2.47,11.37
9.34,3324,0.17,1.57,3.68,18.58
1.68,2222,0,0,0.87,23.13
3.19,2463,0.1,0.2,1.35,22.35
7.12,3328,0.18,0.1,6.15,17.57
9.72,3404,0.68,0.28,4.05,18.98
4.89,2987,0,0,4.92,16.52
4.83,3008,0.53,0.1,5.05,18.32
6.66,2799,0.2,0.32,2.58,20.9
0.97,1276,0,0,0.82,11.88
4.43,2030,0,0,5.65,18.35
3.26,1860,0,0,4.13,19.87
5.25,2130,0,0,6.22,14.05
2.54,1725,0,0,2.93,8.78
2.26,1657,0,0,2.45,21.55
2.99,1793,0.03,0.13,3.32,20.52
3.04,1814,0,0.2,3.62,20.18
0.13,1366,0,0,0.17,23.83
0.01,1349,0,0,0.02,23.98
5.32,2062,0.03,0.22,5.13,18.62
3.55,1827,0,0,3.67,20.33
2.36,1645,0,0,2.32,21.68
0,1347,0,0,0,24
0,1347,0,0,0,24
0,1347,0,0,0,24
0,1348,0,0,0.02,23.98
4.57,1992,0,0,5.03,18.97
3.25,1856,0,0,4.12,18.03
2.67,1763,0,0,3.07,3.63
1.7,1541,0,0.12,1.25,9.75
0,1348,0,0,0,24
2.68,1742,0,0,3.07,20.93
1.37,1549,0,0,1.45,22.55
1.48,1589,0,0,2,22
0.03,1351,0,0,0.03,23.97
0,1347,0,0,0,24
0,1347,0,0,0,24
0,1347,0,0,0,24
0,1347,0,0,0,24
0,1347,0,0,0,24
0,665,0,0,0,11.85
0.47,2220,0,0,0.92,12.23
0.25,2151,0,0,0.53,16.43
1.5,2383,0,0.15,1.47,21.53
0.68,2221,0,0,0.85,15.68
0,2064,0,0,0,24
0,2063,0,0,0,24
0.17,2111,0,0,0.28,23.72
0,2063,0,0,0,24
0,2063,0,0,0,24
0,2064,0,0,0,24
0.1,2093,0,0,0.17,23.83
2.04,2499,0,0,2.42,21.58
1.45,2324,0.02,0.1,1.25,22.63
0.11,2100,0,0,0.2,21.72
2.6,2638,0,0,3.2,17.63
0,2063,0,0,0,24
1.16,2351,0,0,1.58,19.45
0,2063,0,0,0,24
0,2064,0,0,0,24
1.87,2411,0.23,0.02,1.17,22.58
2.62,2505,0.27,0.13,1.57,22.03
0.92,2195,0.17,0,0.28,23.55
1.24,2338,0,0,1.45,22.55
0,2063,0,0,0,24
1.45,2383,0,0,1.8,22.2
1.04,2229,0,0,0.8,23.2
0,2063,0,0,0,24
0,2063,0,0,0,24
0,2063,0,0,0,24
0,2063,0,0,0,24
0,1383,0,0,0,16.1
8.34,2390,0.7,0.23,3.78,19.28
8.5,2601,0.72,0.08,4.87,18.33
7.5,2312,0.53,0.05,4.28,19.13
8.03,2525,0.45,0.15,4.7,18.7
7.09,2177,0.68,0.18,2.52,20.62
11.4,2782,0.47,0.48,5.52,17.53
10.07,2770,0.8,0.05,5.18,17.97
8.53,2489,0.52,0.12,4.17,19.2
10.67,2897,0.8,1.05,4.6,17.55
8.74,3158,1.73,0.88,4.25,17.13
9.33,2638,0.87,0.17,4.55,18.42
4.21,2069,0,0,4.15,19.85
10.28,2529,0.62,0.43,3.6,19.35
8.01,2470,0.73,0.13,3.62,19.52
7.19,2793,0.92,0.4,4.58,18.1
7.13,2463,0.32,0.33,4.7,18.65
7.12,2296,0.1,0.33,4.85,18.72
7.19,2611,0.35,0.67,4.68,18.3
12.91,2732,0.22,0.38,6.02,17.38
7.4,2380,0.42,0.47,4.08,19.03
7.29,2473,0.6,0.13,4.62,18.65
8.74,2752,1.2,0.23,4.17,18.4
8.29,2649,0.6,0.45,4.53,18.42
8.35,2609,0.92,0.33,4.22,18.53
7.18,2498,0.4,0.28,4.92,18.4
4.71,1995,0.33,0.03,2.48,21.15
2.31,1848,0,0,2.25,21.75
9.39,2709,0.58,0.78,4.95,17.68
8.98,2797,0.95,0.47,4.52,18.07
9.32,2544,0.97,0.42,3.73,18.88
6.41,1853,0.27,0.27,3.93,12.13
2.74,1459,0.05,0.13,3.02,11.77
3.1,1521,0,0,3.97,11.05
2.07,1431,0,0,3.28,10.88
2.37,1444,0,0,3.13,11.45
1.58,1373,0,0,2.5,12.13
0.52,1214,0,0,1,17.55
2.06,1419,0,0,3.03,17.7
1.5,1356,0,0,2.35,13.08
4.48,1667,0,0,5.45,10.38
1.53,1370,0,0,2.55,12.48
1.81,1399,0,0,2.7,11.87
7.71,1916,0,0,7.2,7.63
2.16,1401,0,0,2.73,11.73
3.73,1576,0,0,4.33,13.68
3.68,1595,0,0,4.8,16.97
3.77,1593,0,0,4.77,9.77
3.95,1649,0,0,5.52,10.43
4.71,1692,0,0,5.87,8.2
2.93,1506,0,0,3.88,9.9
2.28,1447,0,0,3.18,11.93
4.35,1690,0,0,5.92,11.93
3.72,1604,0,0,5.07,16.35
4.07,1658,0,0,5.75,8.83
7.54,1926,0,0,7.92,7.98
5.08,1736,0,0,6.38,8.52
2.6,1491,0,0,3.82,11.08
3.45,1555,0,0,4.3,10.17
6.62,1869,0,0,6.68,9.05
0.16,1141,0,0,0.28,16.7
5.32,1698,0,0,5.5,9.48
5.51,1364,0,0,5.72,5.5
7.49,2124,0.22,0.15,5.1,18.53
4.9,2003,0,0,5.58,18.42
2.68,1696,0,0,3.18,20.82
3.51,1801,0,0,4.08,19.92
3.41,1724,0,0,3.25,20.75
4.18,1852,0,0,4.15,19.85
4.42,1905,0,0.12,4.33,19.55
4.04,1811,0,0.18,3.8,20.02
4.85,1922,0,0.18,4.72,19.1
2.29,1610,0.02,0.17,2.12,21.7
3.76,1851,0,0,4.43,19.57
3.42,1804,0,0,4.03,18.82
2.81,1725,0,0,3.4,20.6
2.42,1654,0.05,0.08,2.53,21.33
2.3,1632,0,0,2.45,21.55
1.16,1481,0,0,1.37,22.63
1.03,1473,0,0,1.27,22.73
0.62,1410,0,0,0.75,23.25
3.08,1779,0,0,3.9,20.1
0.52,1403,0,0,0.67,23.33
2.45,1613,0.08,0.1,2.05,21.77
5.02,1878,0.33,0.17,3.43,20.07
0.81,1426,0,0,0.87,23.13
3.51,1780,0,0.18,3.72,20.1
3.29,1742,0,0,3.4,20.6
4.97,1972,0,0,5.32,18.68
3.48,1821,0,0,4.12,19.88
2.08,1630,0,0,2.42,21.58
4.2,1899,0,0,4.83,19.17
4.33,1903,0,0,5,19
1.79,1125,0,0,2.13,13.83
6.83,2344,0.47,0.22,5.33,16.07
7.01,2038,0.32,0.53,3.25,11.27
6.7,2010,0.02,0.8,3.43,11.75
6.92,2133,0.02,0.4,4.73,12
15.08,2670,1.1,1.2,4.47,16.13
3.62,1882,0.02,0.12,4.15,8.47
5.45,1944,0.18,0.27,3.43,11.3
4.44,2346,0,0.12,6.37,10.8
7.27,2198,0.18,0.72,4.48,16.85
6.75,2048,0.38,0.43,3.47,12.68
5.16,1946,0.15,0.45,3.43,13.02
11.37,2629,0.53,0.58,6,9.85
6.26,2187,0,0,6,9.73
6.38,2095,0.25,0.18,4.62,10.88
3.95,1861,0,0,3.78,12.2
7.58,2194,0.43,0.15,4.92,10.38
3.6,1854,0,0,3.82,12.73
0.03,403,0,0,0.07,0.03
5.91,1982,0.03,0.35,5.93,17.68
5.12,2004,0,0.13,6.73,17.13
5.32,1893,0,0,5.52,18.48
5.7,2063,0,0,7.47,16.53
6.65,2148,0.78,0.02,5.08,18.12
1.7,1529,0,0.13,2.67,21.2
5.24,1890,0.02,0.1,5.18,18.7
5.37,1956,0,0,6.48,17.52
6.3,2094,0.37,0.08,6.3,17.25
5.98,1970,0.03,0.17,6.18,17.62
4.9,2241,0.77,0,6.1,17.13
6.35,2021,0.47,0.08,5.5,17.95
4.68,1898,0.77,0.02,3.17,20.05
4.95,1907,0,0,5.98,18.02
5.54,1882,0.03,0.08,5.15,18.73
2.36,1966,0.77,0,3.28,19.95
5.41,1835,0.47,0.12,3.55,19.87
4.95,1780,0.33,0.38,3.43,19.85
5.68,1830,0.08,0.33,4.13,19.45
4.97,1739,0.12,0.3,3.27,20.32
5.06,1878,0,0.12,5.57,18.32
4.98,1906,0.02,0.1,6.05,17.83
5.56,2015,0,0,7,17
5.61,1971,0.22,0.38,5.18,18.22
4.75,1910,0,0.08,6.17,17.75
3.38,1897,1.25,0.18,0.87,21.7
5.54,2096,0.77,0,5.43,17.8
5.19,1906,0,0,5.75,18.25
5.56,1962,0,0,6.22,17.78
4.33,1826,0,0,5.32,18.68
5.11,1431,0,0,4.47,12
3.24,1788,0,0,4.67,19.33
6.63,2093,0.27,0.13,6.18,17.42
6.03,2065,0.1,0.42,6.17,17.32
5.08,1908,0,0,5.58,18.42
4.73,1908,0,0,5.93,18.07
5.88,1964,0.18,0.03,5.37,18.42
4.64,2014,0.33,0.12,5.72,17.83
5.26,1985,0,0,6.27,17.73
3.33,1867,0.25,0.05,4.57,19.13
6.07,2124,0.3,0.15,6.27,17.28
2.62,1669,0,0,3.43,20.57
5.07,1995,0.33,0.03,5.05,18.58
4.59,1921,0.23,0.12,4.87,18.78
4.09,2010,0,0,6.93,17.07
5.79,2057,0.37,0.03,5.55,18.05
5.42,2095,0.4,0.22,5.77,17.62
3.76,1972,0,0,6.42,17.58
6.23,2044,0,0,6.7,17.3
3.58,1946,0.28,0.07,5,18.65
2.1,1237,0,0,2.87,14.03
5.98,1450,0.73,0.32,2.18,12.95
6.71,1495,0.52,0.77,2.55,12.57
5.11,1433,0.08,0.38,3.57,13.35
6.06,1468,0.25,0.7,3.05,10.73
9,1625,0.52,1.38,2.55,11.05
6.97,1529,0.18,0.97,3.42,10
7.8,1584,0.07,1.58,3.57,10.08
8.78,1638,0.32,1.12,3.68,12.3
7.83,1554,0.03,1.63,2.73,14.08
