Activity_Hour,Total_Average_Intensity,Total_Intensity
12:00 AM,33.150017,1989
1:00 AM,22.066689,1324
2:00 AM,16.233352,974
3:00 AM,6.900019,414
4:00 AM,9.833347,590
5:00 AM,76.90002,4614
6:00 AM,120.583346,7235
7:00 AM,166.550006,9993
8:00 AM,227.600015,13656
9:00 AM,238.766669,14326
10:00 AM,273.183339,16391
11:00 AM,261.433338,15686
12:00 PM,304.983329,18299
1:00 PM,288.199991,17292
2:00 PM,289.633335,17378
3:00 PM,237.666675,14260
4:00 PM,267.816666,16069
5:00 PM,327.000002,19620
6:00 PM,331.016674,19861
7:00 PM,322.916664,19375
8:00 PM,216.533347,12992
9:00 PM,182.099995,10926
10:00 PM,136.550003,8193
11:00 PM,75.200009,4512
